name,item_type,quantity,max_sellOrder,min_buyOrder,total_spend,total_income,total_profit
Peerless Fish Oil,item,25,81,160,2004,4000,1996
Simple Brick,item,893,25,25,20545,22465,1920
Crushed Rough Shells,item,74,50,50,3102,4950,1848
Sturdy Brick Slab,cargo,23,799,800,16593,18400,1807
Ornate Berry,item,313,1,1,313,2113,1800
Peerless Animal Hair,item,100,12,30,1200,3000,1800
Infused Starbulb,item,2891,1,1,2891,4673,1782
Crushed Fine Shells,item,136,15,15,1986,3765,1779
Sturdy Stone Chunk,cargo,182,10,10,1090,2830,1740
Zesty Roasted Fish,item,1612,1,1,1612,3341,1729
Ferralith Crossbow,item,33,25,31,196,1923,1727
Exquisite Straw,item,110,50,50,4856,6500,1644
Fine Deluxe Fish and Bulbs,item,40,44,80,1588,3200,1612
Female Cervus,cargo,10,350,380,2189,3800,1611
Exquisite Leather,item,12,300,400,3600,5200,1600
Emarium Ore Piece,item,382,6,6,1591,3187,1596
Ferralith Claymore,item,20,100,100,905,2500,1595
Peerless Braxite,item,202,18,20,3624,5200,1576
Simple Parchment,item,2406,1,1,2406,3978,1572
Savory Deluxe Fish and Bulbs,item,200,25,25,4228,5750,1522
Crushed Exquisite Shells,item,100,20,30,1479,3000,1521
Fine Geode,cargo,30,50,65,1143,2650,1507
Exquisite Timber,cargo,4,2000,2000,6500,8000,1500
Rough Cleaned Pelt,item,74,15,25,372,1850,1478
Infused Clay Lump,item,360,1,3,360,1830,1470
Simple Timber,cargo,40,1,1,40,1471,1431
Fine Trunk,cargo,328,5,5,1365,2788,1423
Infused Berry,item,2295,3,3,5974,7373,1399
Oceancrest Marlin,cargo,37,30,40,1030,2425,1395
Fine Healing Potion,item,100,140,150,13620,15000,1380
Basic Berry,item,39308,1,1,39308,40655,1347
Simple Leather Sheeting,cargo,7,250,292,740,2044,1304
Sturdy Wood Log Package,cargo,10,200,300,1697,3000,1303
Ferralith Ore Package,cargo,5,250,500,1200,2500,1300
Glittering Junk,item,141,50,50,5758,7050,1292
Luminite Ore Piece,item,80,4,20,319,1600,1281
Emarium Ore Chunk,cargo,64,10,15,566,1845,1279
Pyrelite Crossbow,item,132,20,20,1362,2640,1278
Serpentfish Filet,item,2572,2,2,4228,5504,1276
Exquisite Wood Log,item,500,8,10,3725,5000,1275
Plain Roasted Fish,item,815,1,1,815,2087,1272
Simple Glass Vial,item,296,10,10,2248,3485,1237
Rough Gypsite,item,22,66,80,531,1760,1229
Peerless Wood Log,item,802,5,5,3284,4512,1228
Fine Roasted Fish,item,535,1,1,535,1727,1192
Basic Fertilizer,item,5908,2,2,11015,12205,1190
Ferralith Hoe,item,12,100,100,513,1700,1187
Ferralith Bow,item,15,150,150,1086,2250,1164
Simple Flower,item,3029,3,3,7932,9087,1155
Fine Straw,item,191,30,30,5591,6730,1139
Deed: Pet Croaklin (Pink),item,1,100,1234,100,1234,1134
Basic Sand,item,11293,1,1,11293,12422,1129
Peerless Leather,item,16,650,720,10400,11520,1120
Simple Starbulb,item,1192,1,1,1192,2301,1109
Exquisite Animal Hair,item,200,20,21,4000,5100,1100
Pyrelite Ore Package,cargo,2,200,750,400,1500,1100
Emberscale Sturgeon Filet,item,753,4,4,2930,4012,1082
Simple Leather Shirt,item,81,20,20,587,1620,1033
Beginner's Leather Research,item,21,200,200,3200,4200,1000
Ornate Animal Hair,item,100,20,30,2000,3000,1000
Simple Starbulb Seeds,item,207,12,12,1484,2484,1000
Exquisite Braxite,item,100,30,30,2002,3000,998
Simple Geode,cargo,28,1,1,28,1024,996
Exquisite Amber Resin,item,300,2,5,509,1500,991
Fine Wispweave Seeds,item,441,25,25,10035,11025,990
Ferralith Machete,item,11,100,100,621,1600,979
Rough Geode,cargo,50,2,2,67,1043,976
Serpentfish,cargo,75,50,50,3741,4700,959
Beginner's Cloth Research,item,40,150,150,5950,6900,950
Simple Embergrain Seeds,item,161,11,12,993,1932,939
Pyrelite Claymore,item,159,20,20,2245,3180,935
Rough Straw,item,82,50,50,3169,4100,931
Infused Citric Berry,item,22,80,86,970,1892,922
Ferralith Hammer,item,10,150,150,594,1500,906
Ferralith Axe,item,9,150,150,445,1350,905
Sturdy Geode,cargo,11,8,85,54,935,881
Emberfin Shiner,item,1272,2,2,1993,2844,851
Crushed Sturdy Shells,item,101,30,30,2183,3030,847
Crushed Simple Shells,item,74,50,50,2913,3750,837
Exquisite Berry,item,845,5,5,3398,4225,827
Infused Sand,item,1295,3,3,3064,3885,821
Coralcrest Darter,item,221,2,3,246,1063,817
Basic Embergrain Plant,item,217,5,6,491,1302,811
Sturdy Animal Hair,item,91,20,20,1289,2090,801
Ornate Amber Resin,item,226,1,1,226,1026,800
Fine Timber,cargo,1,430,1225,430,1225,795
Wavecrest Eel Filet,item,444,2,3,551,1333,782
Fine Animal Hair,item,41,15,26,435,1190,755
Insect Wing,item,71,38,38,1987,2738,751
Exquisite Geode,cargo,11,150,150,900,1650,750
Ferralith Saw,item,10,149,150,750,1500,750
Infused Fertilizer,item,500,8,8,3257,4000,743
Infused Crop Oil,item,100,26,30,2265,3000,735
Simple Forester's Pot,item,100,10,12,477,1200,723
Golden Crawfish,item,100,6,13,600,1300,700
Exquisite Tree Bark,item,1021,3,3,2364,3063,699
Exquisite Citric Berry,item,6,10,50,60,750,690
Infused Amber Resin,item,585,1,1,585,1270,685
Basic Chum,item,43,15,20,176,860,684
Simple Raw Pelt,item,13,25,75,295,975,680
Zesty Mashed Bulbs,item,413,7,7,2213,2891,678
Ferralith Rod,item,7,150,150,378,1050,672
Rough Braxite,item,38,50,51,1278,1938,660
Fine Fish and Bulbs,item,20,25,40,160,800,640
Ferralith Knife,item,6,100,150,266,900,634
Beginner's Wood Research,item,29,150,150,3991,4625,634
Ferralith Ore Piece,item,789,3,3,1737,2367,630
Fine Pebbles,item,1266,3,3,3224,3848,624
Exquisite Plant Roots,cargo,62,25,35,1550,2170,620
Exquisite Parchment,item,300,3,5,900,1500,600
Beginner's Metal Research,item,8,100,175,800,1400,600
Exquisite Raw Pelt,item,31,100,100,2500,3100,600
Peerless Cloth Strip,item,60,90,100,5400,6000,600
Seastorm Tuna Scale,item,2,2150,2450,4300,4900,600
Ambrosial Deluxe Fish and Bulbs,item,10,100,160,1000,1600,600
Ferralith Mace,item,5,44,150,164,750,586
Breezy Fin Darter,item,1832,2,2,3082,3664,582
Crushed Ornate Shells,item,100,25,30,2430,3000,570
Fine Amber Resin,item,372,1,1,372,916,544
Alpha Jakyl Fur,item,373,10,10,3599,4125,526
Simple Leather Belt,item,84,5,10,321,840,519
Pyrelite Claymore,item,3,75,200,91,600,509
Emarium Axe,item,1,1000,1507,1000,1507,507
Rough Forester's Pot,item,172,5,5,357,860,503
Basic Ink,item,79,12,12,448,948,500
Crushed Peerless Shells,item,100,25,30,2500,3000,500
Basic Starbulb,item,1891,1,1,1891,2391,500
Rough Woven Belt,item,24,20,20,215,714,499
Plain Deluxe Ocean Fish Sticks,item,27,25,40,585,1080,495
Zesty Deluxe Fish and Bulbs,item,100,30,30,2510,3000,490
Wild Fiberplant Seeds,item,2602,1,1,2602,3090,488
Ferralith Chisel,item,6,150,150,415,900,485
Simple Leather Leggings,item,69,15,15,562,1035,473
Abyssal Swordfish Filet,item,207,15,15,2647,3105,458
Simple Leather Treatment,item,6,75,100,450,900,450
Refined Simple Leather,item,1,1,450,1,450,449
Simple Potter's Mix,item,200,4,5,559,1000,441
Rough Woven Shorts,item,15,25,30,144,563,419
Fine Glass Vial,item,16,25,50,385,800,415
Basic Healing Potion,item,25,20,25,500,915,415
Pyrelite Rod,item,9,10,50,90,500,410
Plain Mushroom Skewer,item,248,1,1,248,657,409
Pyrelite Quill,item,10,50,50,242,650,408
Peerless Amber Resin,item,247,3,3,333,741,408
Ferralith Pickaxe,item,9,70,80,313,720,407
Rough Woven Shoes,item,30,15,15,213,619,406
Hunchback Prawn,item,412,3,3,831,1236,405
Rough Stripped Wood,item,156,1,1,156,556,400
Infused Tannin,item,200,1,3,200,600,400
Unfired Rough Brick,item,228,3,3,481,878,397
Fine Roasted Ocean Fish,item,50,9,15,354,750,396
Pyrelite Shortsword,item,4,5,100,8,400,392
Fine Brick,item,10,100,125,860,1250,390
Plain Mashed Bulbs,item,1121,1,1,1121,1511,390
Rough Leather Belt,item,26,15,15,258,647,389
Novice Stone Diagrams,item,9,80,90,427,810,383
Peerless Glass Vial,item,4,5,100,20,400,380
Rough Woven Gloves,item,125,10,10,996,1374,378
Rough Woven Shirt,item,13,30,30,152,528,376
Sturdy Wispweave Filament,item,540,6,6,2866,3240,374
Ferralith Plated Helm,item,13,40,40,170,526,356
Savory Roasted Fish,item,747,1,1,747,1097,350
Pyrelite Saw,item,9,45,50,155,500,345
Exquisite Fertilizer,item,183,11,12,1919,2262,343
Breezy Fin Darter Filet,item,2219,1,1,2219,2561,342
Beginner's Stone Diagrams,item,21,10,20,82,420,338
Simple Stripped Wood,item,170,2,2,271,608,337
Pygmy Lobster,item,160,6,7,784,1120,336
Rough Woven Cap,item,15,25,30,116,452,336
Ferralith Plated Legguards,item,2,1,35,2,335,333
Simple Leather Cap,item,50,15,15,418,750,332
Simple Tool Scrap,item,94,65,65,5778,6110,332
Sturdy Cleaned Pelt,item,5,85,90,123,450,327
Refined Rough Plank,item,3,50,125,52,375,323
Zesty Mushroom Skewer,item,100,2,5,196,500,304
Basic Building Elixir,item,22,5,10,38,340,302
Rough Leather Cap,item,15,15,15,100,400,300
Rough Leather Leggings,item,20,20,20,195,495,300
Sturdy Pebbles,item,2847,1,1,2847,3147,300
Exquisite Cloth Tarp,cargo,1,4000,4280,4000,4280,280
Molten Ferralith,item,38,10,16,330,608,278
